id,routeId,shape,topic,title,instruction,input,support,model,grammar,partner,criterion,retry
mx-0-kennismaken-01-circle,route-0,circle,kennismaken,Een naam noemen,Zeg je naam tegen een nieuwe cursist.,Je ontmoet iemand in de les. Je mag een naam verzinnen.,Ik heet …,Ik heet Sara.,"Een naam noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een naam noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-01-square,route-0,square,kennismaken,Naar een naam vragen,Vraag hoe de nieuwe cursist heet.,Jullie kennen elkaar nog niet.,Hoe heet …?,Hoe heet je?,"Naar een naam vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een naam vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-01-triangle,route-0,triangle,kennismaken,Een van twee rolnamen kiezen,Kies een naam voor je rol: Amir of Noor.,Je speelt een nieuwe cursist.,Ik ben …,Ik ben Noor.,"Een van twee rolnamen kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een van twee rolnamen kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-01-diamond,route-0,diamond,kennismaken,De juiste naam doorgeven,Vraag de docent je naam te verbeteren.,Op de lijst staat Sam. Jij heet Sami.,"Ik heet …, niet …","Ik heet Sami, niet Sam.","De juiste naam doorgeven met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan de juiste naam doorgeven. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-02-circle,route-0,circle,kennismaken,Een woonplaats noemen,Vertel in welke plaats je woont.,Noem een plaats. Je mag iets verzinnen.,Ik woon in …,Ik woon in Delft.,"Een woonplaats noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een woonplaats noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-02-square,route-0,square,kennismaken,Naar een woonplaats vragen,Vraag in welke plaats de ander woont.,Je praat met een nieuwe buur.,Waar woon …?,Waar woon je?,"Naar een woonplaats vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een woonplaats vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-02-triangle,route-0,triangle,kennismaken,Stad of dorp kiezen,Kies een woonplek voor je rol: stad of dorp.,Beide keuzes zijn goed.,Ik woon in een …,Ik woon in een dorp.,"Stad of dorp kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan stad of dorp kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-02-diamond,route-0,diamond,kennismaken,Zich melden als nieuwe buur,Zeg dat je nieuw bent in de buurt.,Een buur begroet je bij de deur.,Ik ben hier …,Ik ben hier nieuw.,"Zich melden als nieuwe buur met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan zich melden als nieuwe buur. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-03-circle,route-0,circle,kennismaken,Een land van herkomst noemen,Vertel uit welk land je komt.,Je mag een verzonnen persoon zijn.,Ik kom uit …,Ik kom uit Spanje.,"Een land van herkomst noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een land van herkomst noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-03-square,route-0,square,kennismaken,Naar herkomst vragen,Vraag uit welk land de ander komt.,De ander mag een persoon verzinnen.,Uit welk land …?,Uit welk land kom je?,"Naar herkomst vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar herkomst vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-03-triangle,route-0,triangle,kennismaken,Een reisbestemming kiezen,Kies een land voor de reis: België of Duitsland.,Je kiest alleen een bestemming.,Ik ga naar …,Ik ga naar België.,"Een reisbestemming kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een reisbestemming kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-03-diamond,route-0,diamond,kennismaken,Passend begroeten,Begroet een nieuwe cursist in de ochtend.,De cursist komt binnen.,Goede…!,Goedemorgen!,"Passend begroeten met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan passend begroeten. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-04-circle,route-0,circle,kennismaken,Een taal noemen,Vertel welke taal je spreekt.,Eén taal noemen is genoeg.,Ik spreek …,Ik spreek Arabisch.,"Een taal noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een taal noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-04-square,route-0,square,kennismaken,Naar een gedeelde taal vragen,Vraag of de ander Nederlands spreekt.,Je ontmoet iemand bij de bushalte.,Spreek je …?,Spreek je Nederlands?,"Naar een gedeelde taal vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een gedeelde taal vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-04-triangle,route-0,triangle,kennismaken,Een oefentaal kiezen,Kies een taal om te oefenen: Nederlands of Engels.,Je oefent met een taalmaat.,Ik oefen …,Ik oefen Nederlands.,"Een oefentaal kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een oefentaal kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-04-diamond,route-0,diamond,kennismaken,Om langzaam spreken vragen,Vraag de medewerker langzaam te praten.,Je begrijpt de snelle uitleg niet.,Wilt u … praten?,Wilt u langzaam praten?,"Om langzaam spreken vragen met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan om langzaam spreken vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-05-circle,route-0,circle,kennismaken,Een dagelijkse activiteit noemen,Vertel wat je overdag doet.,"Bijvoorbeeld: werken, leren of thuis zijn. Verzin gerust iets.",Ik werk … / Ik leer …,Ik werk in een winkel.,"Een dagelijkse activiteit noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een dagelijkse activiteit noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-05-square,route-0,square,kennismaken,Naar werken op deze dag vragen,Vraag of de ander vandaag werkt.,Je praat in de pauze.,Werk je …?,Werk je vandaag?,"Naar werken op deze dag vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar werken op deze dag vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
