id,routeId,shape,topic,title,instruction,input,support,model,grammar,partner,criterion,retry
dq-0-circle-01,route-0,circle,kennismaken,Vertel kort,Hoe heet jij?,,Ik heet …,Ik heet Sara.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-02,route-0,circle,dagelijks,Vertel kort,Waar woon jij?,,Ik woon in …,Ik woon in Rotterdam.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-03,route-0,circle,kennismaken,Vertel kort,Uit welk land kom jij?,,Ik kom uit …,Ik kom uit Spanje.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-04,route-0,circle,kennismaken,Vertel kort,Welke taal spreek jij?,,Ik spreek …,Ik spreek Arabisch.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-05,route-0,circle,kennismaken,Vertel kort,Hoe oud ben jij?,,Ik ben … jaar.,Ik ben dertig jaar.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-06,route-0,circle,dagelijks,Vertel kort,Wat drink jij graag?,,Ik drink graag …,Ik drink graag thee.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-07,route-0,circle,dagelijks,Vertel kort,Wat eet jij graag?,,Ik eet graag …,Ik eet graag rijst.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-08,route-0,circle,spullen,Vertel kort,Welke kleur heeft jouw tas?,,Mijn tas is …,Mijn tas is blauw.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-09,route-0,circle,spullen,Vertel kort,Welke kleur heeft jouw jas?,,Mijn jas is …,Mijn jas is zwart.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
dq-0-circle-10,route-0,circle,kennismaken,Vertel kort,Hoe heet jouw docent?,,Mijn docent heet …,Mijn docent heet Noor.,tegenwoordige tijd; korte antwoordzinnen,Docent of cursist leest de vraag voor en luistert. Geen verplichte tweede spreekrol. Wissel pas na het antwoord van spreker.,"Eén begrijpelijk woord, ja/nee of een korte vaste reactie beantwoordt de vraag. Geen reden verplicht.",Optioneel: beantwoord de vraag opnieuw met één ander woord of een andere korte reactie.
